DATA_INCLUSAO,BAIRRO,CASOS_CONFIRMADOS
01/06/2021,Pituba,6656
01/06/2021,Pernambues,6089
01/06/2021,Brotas,5599
01/06/2021,Itapua,4699
01/06/2021,"Fazenda Grande do Retiro",4053
01/06/2021,Liberdade,3724
01/06/2021,"Sao Marcos",3704
01/06/2021,"Santa Cruz",3576
01/06/2021,Cabula,3525
01/06/2021,"Sao Cristovao",3516
01/06/2021,Federacao,3426
01/06/2021,"Beiru/Tancredo Neves",3317
01/06/2021,"Boca do Rio",3134
01/06/2021,Paripe,3089
01/06/2021,Imbui,3065
01/06/2021,"Sao Caetano",2825
01/06/2021,"Aguas Claras",2728
01/06/2021,Centro,2627
01/06/2021,Plataforma,2626
01/06/2021,Periperi,2577
01/06/2021,Sussuarana,2565
01/06/2021,Piraja,2539
01/06/2021,"Nordeste de Amaralina",2392
01/06/2021,"Mata Escura",2344
01/06/2021,Lobato,2342
01/06/2021,"Engenho Velho de Brotas",2331
01/06/2021,"Castelo Branco",2323
01/06/2021,"Rio Vermelho",2269
01/06/2021,Uruguai,2178
01/06/2021,"Cosme de Farias",2166
01/06/2021,Patamares,2089
01/06/2021,"Stella Maris",2035
01/06/2021,Piata,2024
01/06/2021,"Caminho das Arvores",1999
01/06/2021,IAPI,1976
01/06/2021,Barra,1875
01/06/2021,"Nova Brasilia",1870
01/06/2021,"Pau Miudo",1869
01/06/2021,"Pau da Lima",1826
01/06/2021,"Caixa D'Agua",1723
01/06/2021,Mussurunga,1712
01/06/2021,Ribeira,1648
01/06/2021,Graca,1640
01/06/2021,Itaigara,1629
01/06/2021,"Costa Azul",1579
01/06/2021,"Vila Laura",1556
01/06/2021,"Engenho Velho da Federacao",1553
01/06/2021,Coutos,1510
01/06/2021,Pituacu,1509
01/06/2021,"Jardim Armacao",1508
01/06/2021,Massaranduba,1490
01/06/2021,"Pero Vaz",1451
01/06/2021,Ondina,1423
01/06/2021,Candeal,1405
01/06/2021,"Fazenda Coutos",1345
01/06/2021,Valeria,1343
01/06/2021,Nazare,1306
01/06/2021,"Cidade Nova",1277
01/06/2021,"Vila Ruy Barbosa/Jardim Cruzeiro",1257
01/06/2021,Garcia,1227
01/06/2021,Matatu,1214
01/06/2021,"Cajazeiras XI",1135
01/06/2021,Bonfim,1101
01/06/2021,"Cabula VI",1086
01/06/2021,STIEP,1080
01/06/2021,"Sete de Abril",1067
01/06/2021,"Marechal Rondon",1035
01/06/2021,Itacaranha,1021
01/06/2021,"Boa Vista de Sao Caetano",1019
01/06/2021,"Jardim das Margaridas",1005
01/06/2021,"Sao Goncalo",998
01/06/2021,Barreiras,985
01/06/2021,"Campinas de Piraja",974
01/06/2021,"Jardim Nova Esperanca",960
01/06/2021,Acupe,949
01/06/2021,Curuzu,941
01/06/2021,"Horto Florestal",930
01/06/2021,Canabrava,929
01/06/2021,Arenoso,925
01/06/2021,"Fazenda Grande II",905
01/06/2021,"Bairro da Paz",861
01/06/2021,"Luiz Anselmo",838
01/06/2021,Barbalho,835
01/06/2021,Saboeiro,825
01/06/2021,"Vila Canaria",820
01/06/2021,Amaralina,817
01/06/2021,Narandiba,798
01/06/2021,"Alto do Cabrito",779
01/06/2021,"Dois de Julho",751
01/06/2021,"Rio Sena",748
01/06/2021,Capelinha,722
01/06/2021,"Dom Avelar",721
01/06/2021,"Praia Grande",713
01/06/2021,Engomadeira,701
01/06/2021,"Cajazeiras VIII",701
01/06/2021,Trobogy,661
01/06/2021,Barris,641
01/06/2021,"Jardim Santo Inacio",612
01/06/2021,"Caminho de Areia",601
01/06/2021,Doron,594
01/06/2021,"Cajazeiras X",594
01/06/2021,"Novo Horizonte",568
01/06/2021,"Boca da Mata",557
01/06/2021,Canela,557
01/06/2021,Vitoria,516
01/06/2021,Resgate,496
01/06/2021,"Alto das Pombas",470
01/06/2021,"Jardim Cajazeiras",443
01/06/2021,"Monte Serrat",437
01/06/2021,Macaubas,436
01/06/2021,"Fazenda Grande I",419
01/06/2021,Calabetao,418
01/06/2021,"Santa Monica",417
01/06/2021,Tororo,414
01/06/2021,"Arraial do Retiro",387
01/06/2021,"Nova Esperanca",379
01/06/2021,"Ilha Amarela",348
01/06/2021,"Baixa de Quintas",338
01/06/2021,"Alto do Coqueirinho",333
01/06/2021,"Sao Tome",332
01/06/2021,"Fazenda Grande III",311
01/06/2021,"Cajazeiras VII",309
01/06/2021,"Fazenda Grande IV",308
01/06/2021,Itinga,303
01/06/2021,"Alto da Terezinha",293
01/06/2021,Saude,288
01/06/2021,"Santo Antonio",276
01/06/2021,"Chame - Chame",273
01/06/2021,"Cajazeiras V",269
01/06/2021,"Boa Viagem",266
01/06/2021,"Sao Joao do Cabrito",265
01/06/2021,"Vale das Pedrinhas",259
01/06/2021,Roma,259
01/06/2021,Saramandaia,241
01/06/2021,"Cajazeiras VI",235
01/06/2021,Palestina,227
01/06/2021,"Ilha de Mare",193
01/06/2021,"Cajazeiras IV",190
01/06/2021,Calcada,187
01/06/2021,Comercio,183
01/06/2021,"Ilha de Bom Jesus dos Passos",160
01/06/2021,Mares,143
01/06/2021,"Novo Marotinho",142
01/06/2021,"Nova Sussuarana",142
01/06/2021,"Granjas Rurais Presidente Vargas",136
01/06/2021,"Mirantes de Periperi",134
01/06/2021,Cassange,134
01/06/2021,Retiro,132
01/06/2021,"Vale dos Lagos",132
01/06/2021,"Chapada do Rio Vermelho",129
01/06/2021,"Sao Rafael",126
01/06/2021,"Vista Alegre",110
01/06/2021,Calabar,110
01/06/2021,Lapinha,109
01/06/2021,"Bom Jua",90
01/06/2021,"Cajazeiras II",85
01/06/2021,"Areia Branca",80
01/06/2021,"Centro Historico",66
01/06/2021,"Centro Administrativo da Bahia",61
01/06/2021,"Nova Constituinte",47
01/06/2021,"Boa Vista de Brotas",37
01/06/2021,"Colinas de Periperi",34
01/06/2021,"Ilha dos Frades",32
01/06/2021,"Santa Luzia",17
01/06/2021,Aeroporto,16
01/06/2021,"Santo Agostinho",16
01/06/2021,"Moradas da Lagoa",13
01/06/2021,"Porto Seco Piraja",10
