DATA_INCLUSAO,BAIRRO,CASOS_CONFIRMADOS
09/06/2021,Pituba,6810
09/06/2021,Pernambues,6240
09/06/2021,Brotas,5735
09/06/2021,Itapua,4787
09/06/2021,"Fazenda Grande do Retiro",4143
09/06/2021,Liberdade,3836
09/06/2021,"Sao Marcos",3776
09/06/2021,"Santa Cruz",3613
09/06/2021,Cabula,3593
09/06/2021,"Sao Cristovao",3586
09/06/2021,Federacao,3516
09/06/2021,"Beiru/Tancredo Neves",3389
09/06/2021,"Boca do Rio",3227
09/06/2021,Imbui,3156
09/06/2021,Paripe,3141
09/06/2021,"Sao Caetano",2873
09/06/2021,"Aguas Claras",2774
09/06/2021,Centro,2688
09/06/2021,Plataforma,2686
09/06/2021,Periperi,2627
09/06/2021,Sussuarana,2616
09/06/2021,Piraja,2581
09/06/2021,"Nordeste de Amaralina",2412
09/06/2021,Lobato,2404
09/06/2021,"Mata Escura",2399
09/06/2021,"Engenho Velho de Brotas",2384
09/06/2021,"Castelo Branco",2368
09/06/2021,"Rio Vermelho",2318
09/06/2021,Uruguai,2230
09/06/2021,"Cosme de Farias",2212
09/06/2021,Patamares,2143
09/06/2021,"Stella Maris",2078
09/06/2021,Piata,2060
09/06/2021,"Caminho das Arvores",2054
09/06/2021,IAPI,2038
09/06/2021,"Pau Miudo",1979
09/06/2021,"Nova Brasilia",1922
09/06/2021,Barra,1912
09/06/2021,"Pau da Lima",1872
09/06/2021,"Caixa D'Agua",1761
09/06/2021,Mussurunga,1757
09/06/2021,Ribeira,1688
09/06/2021,Graca,1672
09/06/2021,Itaigara,1670
09/06/2021,"Costa Azul",1603
09/06/2021,"Vila Laura",1586
09/06/2021,"Engenho Velho da Federacao",1584
09/06/2021,"Jardim Armacao",1550
09/06/2021,Pituacu,1549
09/06/2021,Coutos,1543
09/06/2021,Massaranduba,1513
09/06/2021,"Pero Vaz",1497
09/06/2021,Ondina,1453
09/06/2021,Candeal,1438
09/06/2021,Valeria,1376
09/06/2021,"Fazenda Coutos",1358
09/06/2021,Nazare,1332
09/06/2021,"Cidade Nova",1308
09/06/2021,"Vila Ruy Barbosa/Jardim Cruzeiro",1281
09/06/2021,Garcia,1249
09/06/2021,Matatu,1245
09/06/2021,"Cajazeiras XI",1155
09/06/2021,Bonfim,1123
09/06/2021,"Cabula VI",1117
09/06/2021,STIEP,1111
09/06/2021,"Sete de Abril",1101
09/06/2021,"Boa Vista de Sao Caetano",1068
09/06/2021,"Marechal Rondon",1046
09/06/2021,Itacaranha,1043
09/06/2021,"Jardim das Margaridas",1042
09/06/2021,"Sao Goncalo",1013
09/06/2021,Barreiras,1011
09/06/2021,"Campinas de Piraja",999
09/06/2021,Acupe,983
09/06/2021,"Jardim Nova Esperanca",983
09/06/2021,Curuzu,977
09/06/2021,Arenoso,956
09/06/2021,"Horto Florestal",951
09/06/2021,Canabrava,948
09/06/2021,"Fazenda Grande II",918
09/06/2021,"Bairro da Paz",909
09/06/2021,Barbalho,873
09/06/2021,"Luiz Anselmo",862
09/06/2021,Saboeiro,853
09/06/2021,"Vila Canaria",846
09/06/2021,Amaralina,834
09/06/2021,Narandiba,820
09/06/2021,"Alto do Cabrito",800
09/06/2021,"Rio Sena",770
09/06/2021,"Dois de Julho",767
09/06/2021,Capelinha,747
09/06/2021,"Dom Avelar",738
